driverId,week,hours-logged,miles-logged
78,44,55,1400
59,44,72,300
87,12,72,3700
66,51,60,300
66,30,77,1900
96,16,62,3400
71,22,75,2100
47,17,55,100
27,23,79,1800
63,5,54,1800
75,6,61,3700
63,12,50,2200
41,18,65,500
61,50,67,3100
24,36,78,100
20,17,69,0
102,9,53,1700
41,37,57,0
34,34,64,3200
84,28,72,1000
93,49,78,2200
104,5,57,200
95,20,79,500
97,52,77,1000
82,42,57,100
97,6,50,2700
62,23,76,3800
81,14,61,2100
106,22,73,800
73,25,54,3300
10,31,70,800
101,1,76,3500
106,13,62,100
51,43,57,500
52,17,52,1000
97,16,51,2900
101,13,60,3300
109,28,55,2300
60,24,77,900
41,31,50,200
20,42,64,1500
79,24,53,3200
104,47,53,2400
54,10,59,1200
14,29,74,300
34,35,80,3700
77,37,68,2600
86,1,51,3800
22,16,69,2400
18,28,63,4000
31,42,77,1600
14,27,73,300
102,11,57,3300
69,2,79,300
13,14,58,4000
52,18,51,2000
101,33,62,2800
83,17,58,700
93,17,57,1600
32,49,55,900
87,11,79,1900
86,12,56,3100
17,46,50,200
108,48,56,4000
28,45,70,1400
43,25,67,2900
62,24,54,2100
59,21,76,3800
46,20,60,1000
95,36,68,3700
56,1,62,2800
49,19,68,2400
88,35,65,3100
29,9,74,3800
85,31,74,3100
31,6,62,4000
87,50,57,2200
106,42,65,4000
41,35,60,1000
92,9,67,1700
21,40,66,2000
74,4,65,2800
79,47,66,1300
11,44,63,1000
10,12,52,3600
34,50,56,4000
46,49,55,3100
104,52,72,2500
21,38,77,1200
85,8,79,0
57,28,66,3900
108,48,57,2800
105,25,69,600
75,25,60,2100
91,24,71,3900
100,48,60,4000
109,33,68,1200
49,30,68,1400
42,46,80,600
55,42,52,1300
47,36,53,2700
30,19,57,500
100,38,51,2700
52,16,51,2100
51,44,73,900
55,2,78,2300
78,44,79,3200
21,22,79,3500
65,32,66,1100
57,27,67,200
57,12,77,800
18,34,51,4000
56,15,52,3900
40,33,58,2500
51,18,74,3600
22,13,80,800
80,3,60,3900
99,7,68,1200
84,16,73,3600
58,2,50,3800
59,44,52,3400
32,30,78,3900
79,46,62,600
22,39,69,3800
48,47,58,1400
49,47,80,1500
14,43,72,3200
51,27,60,900
43,28,56,2600
101,29,62,1400
59,42,77,0
82,16,60,2200
87,4,75,2500
103,31,56,3700
25,28,72,2200
55,25,75,0
11,4,68,400
10,18,58,600
24,46,80,2100
37,20,62,2400
74,41,60,400
46,36,62,3900
94,39,54,700
24,20,60,1800
67,41,56,1900
54,23,70,900
39,40,53,600
16,22,73,2000
19,12,57,2300
62,20,54,2800
79,26,69,100
36,13,59,100
77,33,51,500
58,24,50,2100
60,27,70,2500
63,21,72,200
18,28,79,3400
24,19,73,2200
21,41,61,1600
59,15,72,200
20,29,52,300
37,25,70,3300
25,32,72,1900
93,10,55,3600
109,23,62,2900
19,5,76,3200
93,46,78,1900
50,16,74,1000
41,50,78,2600
106,21,51,2800
15,48,80,2000
33,40,67,1600
104,17,68,1600
30,8,56,2800
76,6,76,100
60,2,72,1900
34,9,78,1700
20,31,64,600
79,43,78,2800
44,41,65,3400
43,10,63,2800
90,31,71,3900
10,38,59,3200
68,29,69,3900
33,22,77,400
45,48,73,4000
81,12,71,1500
11,46,78,1800
28,8,74,1300
44,23,53,100
46,48,52,500
60,36,54,100
68,41,53,1000
32,28,80,2400
50,21,65,3900
15,20,79,1500
48,24,70,2900
31,36,62,200
75,30,68,800
57,26,60,2800
80,42,61,700
70,8,67,1800
56,18,62,2900
74,47,54,600
59,5,72,1300
91,24,74,1400
86,12,50,4000
47,45,68,300
80,25,66,1900
81,47,66,1200
42,21,76,400
97,33,70,500
44,14,79,3300
13,5,58,3500
46,16,67,3000
68,48,54,1900
29,45,60,3400
22,52,77,200
105,20,62,300
24,31,62,900
80,38,52,2000
22,44,68,100
41,42,51,1400
82,23,65,4000
52,8,68,1700
82,26,67,1000
84,27,65,700
103,10,71,3800
89,33,73,3500
39,8,75,3900
29,28,71,4000
104,9,66,200
32,32,77,3400
25,29,70,3900
51,42,78,2000
32,26,72,1800
71,3,80,3000
46,29,53,3000
109,17,74,2800
76,40,77,1000
30,45,77,800
31,41,56,2000
67,34,78,2400
61,1,66,3100
55,44,50,400
13,46,56,1500
35,42,50,400
75,25,59,3100
81,22,56,300
66,42,50,3600
16,49,77,1500
80,19,80,1300
10,5,67,900
99,37,50,600
50,35,56,1500
25,38,79,900
53,13,64,0
23,11,70,100
15,14,66,1500
37,43,51,3400
47,38,69,3200
15,33,75,2000
56,26,71,900
25,19,52,800
54,1,52,3400
31,33,60,1800
78,39,60,500
62,26,55,1800
89,15,62,2000
65,34,60,4000
37,50,63,800
56,2,63,1600
74,40,64,0
96,2,66,2300
40,45,75,3600
91,32,59,1100
20,50,65,800
31,45,67,1200
85,9,74,3800
54,36,65,2600
10,51,56,3800
87,26,54,2200
16,37,69,3600
37,38,74,3800
25,8,58,0
63,52,55,4000
83,20,50,2300
79,6,51,2100
11,45,54,1800
57,6,71,1400
13,30,73,1000
72,15,67,3900
67,33,66,3700
82,36,64,1200
104,2,63,1300
109,12,68,1400
75,23,79,2800
108,33,51,600
105,7,73,2500
15,16,73,2800
77,27,75,100
29,24,57,1000
85,49,79,1900
82,45,68,800
55,21,70,2700
94,34,51,2200
25,16,73,3700
80,30,72,3800
63,15,62,2000
